"","to","from","movers","date","fr_pat","to_pat","fr_users","to_users"
"412","51007","51047",0,2019-01-01,24,4,78830,18614
"413","51007","51033",0,2019-01-01,17,4,50376,18614
"414","51007","51640",0,2019-01-01,109,4,7278,18614
"415","51007","51155",0,2019-01-01,74,4,57623,18614
"416","51007","51043",0,2019-01-01,22,4,22764,18614
"417","51007","51101",0,2019-01-01,50,4,28523,18614
"418","51007","51710",20,2019-01-01,119,4,408163,18614
"419","51007","51670",16,2019-01-01,112,4,38762,18614
"420","51007","51147",176,2019-01-01,71,4,39815,18614
"421","51007","51075",43,2019-01-01,37,4,36004,18614
"422","51007","51650",19,2019-01-01,110,4,224693,18614
"423","51007","51045",0,2019-01-01,23,4,8129,18614
"424","51007","51125",0,2019-01-01,61,4,22989,18614
"425","51007","51031",14,2019-01-01,16,4,101999,18614
"426","51007","51069",14,2019-01-01,34,4,137274,18614
"427","51007","51027",0,2019-01-01,14,4,34563,18614
"428","51007","51025",0,2019-01-01,13,4,25288,18614
"429","51007","51137",18,2019-01-01,66,4,56203,18614
"430","51007","51135",643,2019-01-01,65,4,24627,18614
"431","51007","51036",0,2019-01-01,19,4,10204,18614
"432","51007","51193",0,2019-01-01,92,4,28073,18614
"433","51007","51077",0,2019-01-01,38,4,22261,18614
"434","51007","51131",0,2019-01-01,63,4,16552,18614
"435","51007","51530",0,2019-01-01,98,4,10410,18614
"436","51007","51145",203,2019-01-01,70,4,49855,18614
"437","51007","51187",0,2019-01-01,90,4,64982,18614
"438","51007","51071",0,2019-01-01,35,4,27875,18614
"439","51007","51121",85,2019-01-01,60,4,161239,18614
"440","51007","51550",0,2019-01-01,100,4,404560,18614
"441","51007","51099",0,2019-01-01,49,4,40754,18614
"442","51007","51023",0,2019-01-01,12,4,58981,18614
"443","51007","51840",0,2019-01-01,133,4,41272,18614
"444","51007","51119",19,2019-01-01,59,4,16430,18614
"445","51007","51067",16,2019-01-01,33,4,96126,18614
"446","51007","51035",0,2019-01-01,18,4,45489,18614
"447","51007","51540",25,2019-01-01,99,4,68209,18614
"448","51007","51595",0,2019-01-01,104,4,7929,18614
"449","51007","51590",0,2019-01-01,103,4,68488,18614
"450","51007","51191",0,2019-01-01,91,4,87011,18614
"451","51007","51510",0,2019-01-01,96,4,213087,18614
"452","51007","51141",0,2019-01-01,68,4,29110,18614
"453","51007","51750",0,2019-01-01,124,4,32409,18614
"454","51007","51181",0,2019-01-01,87,4,11331,18614
"455","51007","51041",887,2019-01-01,21,4,584264,18614
"456","51007","51775",0,2019-01-01,127,4,43358,18614
"457","51007","51009",16,2019-01-01,5,4,58598,18614
"458","51007","51770",0,2019-01-01,126,4,158696,18614
"459","51007","51105",0,2019-01-01,52,4,35683,18614
"460","51007","51103",0,2019-01-01,51,4,14049,18614
"461","51007","51019",27,2019-01-01,10,4,135376,18614
"462","51007","51061",0,2019-01-01,30,4,107514,18614
"463","51007","51127",23,2019-01-01,62,4,35250,18614
"464","51007","51003",20,2019-01-01,2,4,156239,18614
"465","51007","51089",0,2019-01-01,44,4,92093,18614
"466","51007","51800",0,2019-01-01,129,4,150156,18614
"467","51007","51013",0,2019-01-01,7,4,302943,18614
"468","51007","51167",0,2019-01-01,80,4,46676,18614
"469","51007","51165",0,2019-01-01,79,4,130193,18614
"470","51007","51153",0,2019-01-01,73,4,727098,18614
"471","51007","51163",0,2019-01-01,78,4,35665,18614
"472","51007","51177",30,2019-01-01,85,4,221513,18614
"473","51007","51175",18,2019-01-01,84,4,31773,18614
"474","51007","51065",0,2019-01-01,32,4,41315,18614
"475","51007","51063",0,2019-01-01,31,4,27190,18614
"476","51007","51005",0,2019-01-01,3,4,24296,18614
"477","51007","51690",0,2019-01-01,117,4,22276,18614
"478","51007","51810",16,2019-01-01,130,4,784792,18614
"479","51007","51183",0,2019-01-01,88,4,17885,18614
"480","51007","51113",0,2019-01-01,56,4,21001,18614
"481","51007","51199",0,2019-01-01,95,4,111883,18614
"482","51007","51685",0,2019-01-01,116,4,29141,18614
"483","51007","51085",37,2019-01-01,42,4,185889,18614
"484","51007","51195",0,2019-01-01,93,4,65949,18614
"485","51007","51095",0,2019-01-01,47,4,109104,18614
"486","51007","51021",0,2019-01-01,11,4,9754,18614
"487","51007","51149",0,2019-01-01,72,4,63575,18614
"488","51007","51660",15,2019-01-01,111,4,84786,18614
"489","51007","51159",0,2019-01-01,76,4,14532,18614
